Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,ATL,MBJ,Southwest Airlines (WN),Southwest Airlines,1119,02:44,,,,,73G,,,"Codeshare",3682,1780,4547
- -,ATL,MCI,Southwest Airlines (WN),Southwest Airlines,691,01:52,,,,,733 73W,,,"Direct",3682,3458,4547
- -,ATL,MCO,Southwest Airlines (WN),Southwest Airlines,404,01:18,,,,,73W 733 73C,,,"Direct",3682,3878,4547
- -,ATL,MDW,Southwest Airlines (WN),Southwest Airlines,591,01:40,,,,,73W,,,"Direct",3682,3747,4547
- -,ATL,MKE,Southwest Airlines (WN),Southwest Airlines,669,01:50,,,,,717 73G,,,"Codeshare",3682,3717,4547
- -,ATL,MSP,Southwest Airlines (WN),Southwest Airlines,906,02:18,,,,,717,,,"Codeshare",3682,3858,4547
- -,ATL,MSY,Southwest Airlines (WN),Southwest Airlines,424,01:20,,,,,73W,,,"Direct",3682,3861,4547
- -,ATL,NAS,Southwest Airlines (WN),Southwest Airlines,726,01:57,,,,,73G,,,"Codeshare",3682,1953,4547
- -,ATL,OKC,Southwest Airlines (WN),Southwest Airlines,758,02:00,,,,,717,,,"Codeshare",3682,3863,4547
- -,ATL,ORF,Southwest Airlines (WN),Southwest Airlines,515,01:31,,,,,717,,,"Codeshare",3682,3611,4547
- -,ATL,PBI,Southwest Airlines (WN),Southwest Airlines,545,01:35,,,,,733 73W,,,"Direct",3682,3722,4547
- -,ATL,PHL,Southwest Airlines (WN),Southwest Airlines,665,01:49,,,,,733 73W,,,"Direct",3682,3752,4547
- -,ATL,PHX,Southwest Airlines (WN),Southwest Airlines,1583,03:39,,,,,73W,,,"Direct",3682,3462,4547
- -,ATL,PIT,Southwest Airlines (WN),Southwest Airlines,526,01:33,,,,,717 73G,,,"Codeshare",3682,3570,4547
- -,ATL,PUJ,Southwest Airlines (WN),Southwest Airlines,1436,03:22,,,,,73G,,,"Codeshare",3682,1760,4547
- -,ATL,RDU,Southwest Airlines (WN),Southwest Airlines,355,01:12,,,,,717,,,"Codeshare",3682,3626,4547
- -,ATL,RIC,Southwest Airlines (WN),Southwest Airlines,480,01:27,,,,,717,,,"Codeshare",3682,3608,4547
- -,ATL,RSW,Southwest Airlines (WN),Southwest Airlines,515,01:31,,,,,73C,,,"Direct",3682,3793,4547
- -,ATL,SAN,Southwest Airlines (WN),Southwest Airlines,1886,04:16,,,,,73W,,,"Direct",3682,3731,4547
- -,ATL,SAT,Southwest Airlines (WN),Southwest Airlines,872,02:14,,,,,73W,,,"Direct",3682,3621,4547
- -,ATL,SDF,Southwest Airlines (WN),Southwest Airlines,321,01:08,,,,,73W,,,"Direct",3682,4014,4547
- -,ATL,SFO,Southwest Airlines (WN),Southwest Airlines,2133,04:45,,,,,73W,,,"Direct",3682,3469,4547
- -,ATL,SJU,Southwest Airlines (WN),Southwest Airlines,1546,03:35,,,,,73W,,,"Direct",3682,2890,4547
- -,ATL,STL,Southwest Airlines (WN),Southwest Airlines,483,01:27,,,,,73W 733,,,"Direct",3682,3678,4547
- -,ATL,TPA,Southwest Airlines (WN),Southwest Airlines,406,01:18,,,,,73W  733 73C,,,"Direct",3682,3646,4547
- -,AUA,ATL,Southwest Airlines (WN),Southwest Airlines,1718,03:56,,,,,73G,,,"Codeshare",2895,3682,4547
- -,AUS,ATL,Southwest Airlines (WN),Southwest Airlines,811,02:07,,,,,73W,,,"Direct",3673,3682,4547
- -,AUS,BNA,Southwest Airlines (WN),Southwest Airlines,755,02:00,,,,,73W,,,"Direct",3673,3690,4547
- -,AUS,BWI,Southwest Airlines (WN),Southwest Airlines,1339,03:10,,,,,73W,,,"Direct",3673,3849,4547
- -,AUS,DAL,Southwest Airlines (WN),Southwest Airlines,189,00:52,,,,,735 73W 733 73C,,,"Direct",3673,3502,4547
- -,AUS,DCA,Southwest Airlines (WN),Southwest Airlines,1313,03:07,,,,,73W,,,"Direct",3673,3520,4547
- -,AUS,DEN,Southwest Airlines (WN),Southwest Airlines,775,02:03,,,,,73W 733 73C,,,"Direct",3673,3751,4547
- -,AUS,ELP,Southwest Airlines (WN),Southwest Airlines,527,01:33,,,,,73W 735,,,"Direct",3673,3559,4547
- -,AUS,EWR,Southwest Airlines (WN),Southwest Airlines,1500,03:30,,,,,73W,,,"Direct",3673,3494,4547
- -,AUS,FLL,Southwest Airlines (WN),Southwest Airlines,1102,02:42,,,,,73W,,,"Direct",3673,3533,4547
- -,AUS,HOU,Southwest Airlines (WN),Southwest Airlines,148,00:47,,,,,73W 735 73C,,,"Direct",3673,3566,4547
- -,AUS,HRL,Southwest Airlines (WN),Southwest Airlines,273,01:02,,,,,735 73W,,,"Direct",3673,3560,4547
- -,AUS,LAS,Southwest Airlines (WN),Southwest Airlines,1087,02:40,,,,,733 73H 73W 73C,,,"Direct",3673,3877,4547
- -,AUS,LAX,Southwest Airlines (WN),Southwest Airlines,1238,02:58,,,,,73C 73W,,,"Direct",3673,3484,4547
- -,AUS,LBB,Southwest Airlines (WN),Southwest Airlines,341,01:10,,,,,73W 735,,,"Direct",3673,3829,4547
- -,AUS,MCO,Southwest Airlines (WN),Southwest Airlines,991,02:28,,,,,733 73C 73W,,,"Direct",3673,3878,4547
- -,AUS,MDW,Southwest Airlines (WN),Southwest Airlines,971,02:26,,,,,73W,,,"Direct",3673,3747,4547
- -,AUS,MSY,Southwest Airlines (WN),Southwest Airlines,442,01:23,,,,,73W 735,,,"Direct",3673,3861,4547
- -,AUS,OAK,Southwest Airlines (WN),Southwest Airlines,1493,03:29,,,,,73W,,,"Direct",3673,3453,4547
- -,AUS,PHX,Southwest Airlines (WN),Southwest Airlines,869,02:14,,,,,73W 73C 733,,,"Direct",3673,3462,4547
- -,AUS,SAN,Southwest Airlines (WN),Southwest Airlines,1161,02:49,,,,,73C 73W,,,"Direct",3673,3731,4547
